label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
scissors,1711,1547,1739,1369,IMG_20231018_1103018.jpg,6144,3456
scissors,1639,569,2536,1319,IMG_20231018_1103026.jpg,6144,3456
scissors,1537,967,2637,1522,IMG_20231018_1104058.jpg,6144,3456
scissors,1842,1185,2688,1065,IMG_20231018_1105008.jpg,6144,3456
scissors,2016,1974,2782,1348,IMG_20231018_1105027 (1).jpg,6144,3456
scissors,2045,1982,2760,1348,IMG_20231018_1105027.jpg,6144,3456
scissors,2001,1358,2666,1065,IMG_20231018_1105044.jpg,6144,3456
scissors,1624,598,3181,2376,IMG_20231018_1106002.jpg,6144,3456
scissors,1226,337,1703,2572,IMG_20231018_1106020.jpg,6144,3456
scissors,1711,779,1333,2304,IMG_20231018_1106038.jpg,6144,3456
scissors,1690,1076,1913,2217,IMG_20231018_1107025.jpg,6144,3456
scissors,2313,569,1369,1652,IMG_20231018_1108013.jpg,6144,3456
scissors,1393,1156,2681,1623,IMG_20231018_1108028.jpg,6144,3456
scissors,1545,2061,775,674,IMG_20231018_1108041.jpg,6144,3456
scissors,5479,2134,435,485,IMG_20231018_1108041.jpg,6144,3456
scissors,2088,1083,1435,1717,IMG_20231018_1108051.jpg,6144,3456
scissors,1422,837,3521,2101,IMG_20231018_1108059.jpg,6144,3456
scissors,2175,1177,1710,1246,IMG_20231018_1109009.jpg,6144,3456
scissors,2197,1243,1862,964,IMG_20231018_1110005.jpg,6144,3456
scissors,2066,873,1348,1377,IMG_20231018_1110014.jpg,6144,3456
scissors,2291,938,1297,1623,IMG_20231018_1110029.jpg,6144,3456
scissors,1929,743,2565,913,IMG_20231018_1110037.jpg,6144,3456
scissors,1798,974,2239,1340,IMG_20231018_1110046.jpg,6144,3456
scissors,1987,953,1782,1210,IMG_20231018_1110057.jpg,6144,3456
scissors,1436,1583,2195,1094,IMG_20231018_1111004.jpg,6144,3456
scissors,2320,844,1101,2072,IMG_20231018_1111012.jpg,6144,3456
scissors,1595,938,2058,623,IMG_20231018_1111026.jpg,6144,3456
scissors,1378,627,1840,1558,IMG_20231018_1111035.jpg,6144,3456
scissors,1892,569,1123,1775,IMG_20231018_1111044.jpg,6144,3456
scissors,1067,931,1761,1290,IMG_20231018_1112000.jpg,6144,3456
